source_id,configuration,beta_deg,source_pdf_page_primary,appendix_page_primary,source_pdf_page_duplicate,appendix_page_duplicate,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,F-18 Body,10,71,A8,,,40,0.00,1,0.022,0.35,0.083,-0.086,-0.0028,-0.0388,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,40,0.00,2,0.023,0.35,0.083,-0.089,-0.0027,-0.0388,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,40,0.10,,0.021,0.33,0.079,-0.160,-0.0051,-0.0643,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,40,0.20,,0.022,0.32,0.055,-0.203,-0.0074,-0.0935,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,45,-0.40,,0.024,0.47,0.045,0.208,-0.0017,0.0727,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,45,-0.30,,0.018,0.41,0.066,0.104,-0.0002,0.0500,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,45,-0.20,,0.024,0.45,0.039,0.027,-0.0071,-0.0033,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,45,-0.10,,0.014,0.38,0.080,-0.059,-0.0025,-0.0028,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,45,0.00,1,0.019,0.40,0.089,-0.138,-0.0024,-0.0375,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,45,0.00,2,0.017,0.40,0.088,-0.138,-0.0025,-0.0378,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,45,0.10,,0.017,0.39,0.075,-0.221,-0.0053,-0.0782,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,45,0.20,,0.023,0.36,0.050,-0.287,-0.0066,-0.1057,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,50,-0.40,,0.004,0.53,0.056,0.239,-0.0004,0.1019,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
