source_id,derived_from,configuration,beta_deg,alpha_deg,omega_b_over_2V,zero_replicate,dCA_wing,dCN_wing,dCm_wing,dCY_wing,dCl_wing,dCn_wing,derivation,qa_status
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,15,0.20,,-0.007,0.76,-0.111,0.004,-0.0154,-0.0056,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,15,0.30,,-0.008,0.75,-0.108,0.012,-0.0371,-0.0066,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,15,0.40,,-0.004,0.77,-0.118,0.016,-0.0634,-0.0068,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,20,-0.40,,-0.012,0.93,-0.186,0.000,0.0347,0.0201,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,20,-0.30,,-0.019,0.91,-0.172,0.006,0.0152,0.0167,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,20,-0.20,,-0.023,0.89,-0.164,-0.007,0.0066,0.0129,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,20,-0.10,,-0.024,0.86,-0.148,-0.010,0.0067,0.0043,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,20,-0.05,,-0.026,0.85,-0.135,-0.015,0.0099,0.0013,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,20,0.00,1,-0.033,0.89,-0.123,0.000,0.0024,-0.0001,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,20,0.00,2,-0.032,0.88,-0.124,-0.003,0.0045,-0.0002,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
