source_id,configuration,beta_deg,rudder_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,15,0.30,,0.022,1.08,0.137,0.076,-0.0739,-0.0202,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,15,0.40,,0.022,1.14,0.139,0.098,-0.1045,-0.0303,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,20,-0.40,,0.016,1.28,0.228,-0.159,0.0420,0.0605,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,20,-0.30,,0.019,1.26,0.227,-0.108,0.0279,0.0411,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,20,-0.20,,0.016,1.27,0.221,-0.067,0.0152,0.0250,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,20,-0.10,,0.011,1.33,0.213,-0.027,0.0081,0.0124,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,20,-0.05,,0.009,1.34,0.210,-0.007,0.0036,0.0064,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,20,0.00,1,0.022,1.29,0.193,-0.004,0.0000,-0.0009,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,20,0.00,2,0.025,1.24,0.192,-0.007,-0.0010,-0.0010,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,20,0.05,,0.029,1.35,0.208,0.035,-0.0056,-0.0056,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,20,0.10,,0.030,1.32,0.213,0.048,-0.0109,-0.0113,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,20,0.20,,0.033,1.27,0.219,0.074,-0.0204,-0.0227,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,20,0.30,,0.032,1.25,0.223,0.104,-0.0349,-0.0371,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,20,0.40,,0.023,1.25,0.223,0.130,-0.0514,-0.0535,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,25,-0.40,,0.013,1.44,0.271,-0.133,0.0113,0.0801,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
