source_id,configuration,beta_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,F-18 Body, Wing,0,77,A14,25,0.20,,0.031,1.19,-0.080,-0.063,-0.0062,-0.0194,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,25,0.30,,0.029,1.23,-0.078,-0.107,-0.0105,-0.0294,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,25,0.40,,0.022,1.29,-0.080,-0.137,-0.0233,-0.0384,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,30,-0.40,,0.017,1.40,-0.072,0.180,0.0137,0.0652,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,30,-0.30,,0.029,1.29,-0.081,0.154,0.0003,0.0519,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,30,-0.20,,0.037,1.22,-0.082,0.119,-0.0143,0.0345,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,30,-0.10,,0.038,1.17,-0.084,0.098,-0.0165,0.0162,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,30,-0.05,,0.040,1.12,-0.072,0.024,0.0141,0.0064,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,30,0.00,1,0.048,1.06,-0.077,-0.038,0.0182,-0.0017,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,30,0.00,2,0.048,1.05,-0.078,0.005,-0.0005,0.0005,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,30,0.05,,0.041,1.17,-0.079,-0.042,0.0181,-0.0089,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,30,0.10,,0.039,1.17,-0.078,-0.059,0.0209,-0.0170,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,30,0.20,,0.039,1.20,-0.082,-0.084,0.0137,-0.0335,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,30,0.30,,0.036,1.26,-0.086,-0.129,0.0031,-0.0504,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,30,0.40,,0.025,1.36,-0.085,-0.166,-0.0125,-0.0633,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,35,-0.40,,0.022,1.49,-0.099,0.209,0.0043,0.0833,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,35,-0.30,,0.036,1.36,-0.091,0.162,-0.0096,0.0613,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,35,-0.20,,0.044,1.23,-0.076,0.121,-0.0147,0.0434,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,35,-0.10,,0.048,1.09,-0.065,0.078,-0.0031,0.0211,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,35,-0.05,,0.049,1.07,-0.065,0.041,-0.0022,0.0146,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,35,0.00,1,0.056,1.07,-0.082,-0.010,0.0031,0.0017,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,35,0.00,2,0.057,1.07,-0.083,-0.015,0.0033,0.0025,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
