source_id,derived_from,configuration,beta_deg,alpha_deg,omega_b_over_2V,zero_replicate,dCA_LEX,dCN_LEX,dCm_LEX,dCY_LEX,dCl_LEX,dCn_LEX,derivation,qa_status
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,15,0.40,,0.000,0.07,0.193,0.065,-0.0487,0.0160,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,20,-0.40,,0.010,-0.02,0.271,-0.181,0.0271,-0.0097,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,20,-0.30,,0.008,0.01,0.279,-0.167,0.0254,-0.0085,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,20,-0.20,,0.002,0.08,0.283,-0.135,0.0180,-0.0047,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,20,-0.10,,-0.001,0.19,0.272,-0.082,0.0059,0.0015,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,20,-0.05,,0.000,0.22,0.258,-0.048,-0.0048,0.0030,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,20,0.00,1,0.007,0.18,0.245,-0.039,-0.0059,0.0027,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,20,0.00,2,0.006,0.19,0.244,-0.038,-0.0082,0.0029,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,20,0.05,,0.001,0.24,0.263,-0.004,-0.0070,0.0038,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,20,0.10,,-0.001,0.23,0.280,0.019,-0.0157,0.0053,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,20,0.20,,0.001,0.17,0.286,0.069,-0.0316,0.0119,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,20,0.30,,0.006,0.10,0.281,0.089,-0.0345,0.0158,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,20,0.40,,0.005,0.09,0.278,0.106,-0.0373,0.0180,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
