point,factor,mode,real_per_s,imag_rad_s,abs_difference_to_chosen
46,10,C+,-0.1299209083937034,2.9014841091472823,2.153E-004
46,10,C-,-0.1299209083937034,-2.9014841091472823,2.153E-004
46,10,E,-0.19021844141308619,0,1.516E-006
46,10,D,-0.47678113188355081,0,2.926E-007
46,10,A+,-0.48081771452616784,1.3218689743489829,3.302E-005
46,10,A-,-0.48081771452616784,-1.3218689743489829,3.302E-005
46,3,B+,-0.028092371052207438,0.14451177986543215,3.616E-006
46,3,B-,-0.028092371052207438,-0.14451177986543215,3.616E-006
46,3,C+,-0.12991628829493818,2.9013167793217542,4.786E-005
46,3,C-,-0.12991628829493818,-2.9013167793217542,4.786E-005
46,3,E,-0.19021961992635439,0,3.379E-007
46,3,D,-0.47678090258599165,0,6.335E-008
46,3,A+,-0.48081602851048511,1.3218992911789016,3.296E-006
46,3,A-,-0.48081602851048511,-1.3218992911789016,3.296E-006
46,1,B+,-0.028092916809570306,0.14450820507589335,0.000E+000
46,1,B-,-0.028092916809570306,-0.14450820507589335,0.000E+000
46,1,C+,-0.1299149454262265,2.9012689393726294,0.000E+000
46,1,C-,-0.1299149454262265,-2.9012689393726294,0.000E+000
46,1,E,-0.19021995783836476,0,0.000E+000
46,1,D,-0.47678083923554415,0,0.000E+000
46,1,A+,-0.48081385410994132,1.3219017683926735,0.000E+000
46,1,A-,-0.48081385410994132,-1.3219017683926735,0.000E+000
46,0.33333333333333331,B+,-0.028092667611413488,0.14450731876413808,9.207E-007
46,0.33333333333333331,B-,-0.028092667611413488,-0.14450731876413808,9.207E-007
46,0.33333333333333331,C+,-0.12991447322966898,2.90125307467231,1.587E-005
46,0.33333333333333331,C-,-0.12991447322966898,-2.90125307467231,1.587E-005
46,0.33333333333333331,E,-0.19022005929399402,0,1.015E-007
46,0.33333333333333331,D,-0.476780811076048,0,2.816E-008
46,0.33333333333333331,A+,-0.48082556393430104,1.3219031038926743,1.179E-005
46,0.33333333333333331,A-,-0.48082556393430104,-1.3219031038926743,1.179E-005
46,0.1,B+,-0.028092036205990052,0.14450621749836298,2.174E-006
46,0.1,B-,-0.028092036205990052,-0.14450621749836298,2.174E-006
46,0.1,C+,-0.12991433912668016,2.9012474217732445,2.153E-005
46,0.1,C-,-0.12991433912668016,-2.9012474217732445,2.153E-005
46,0.1,E,-0.19022010728252658,0,1.494E-007
