sign,t_s,alpha_deg,beta_deg,p_rad_s,q_rad_s,r_rad_s,theta_deg,phi_deg,V_ft_s,heading_rate_rad_s
+,2120,1.027209438E+001,1.745386301E-002,-3.631917270E-003,3.455481733E-003,1.642727384E-002,1.464334468E+001,1.207456636E+001,3.870417473E+002,1.735024020E-002
+,2160,1.026430607E+001,1.989789631E-002,-4.141674765E-003,4.599237186E-003,1.885476911E-002,1.449034898E+001,1.393656669E+001,3.886229927E+002,2.004509393E-002
+,2200,1.025340331E+001,2.260304590E-002,-4.703785513E-003,6.128417990E-003,2.161466228E-002,1.428327182E+001,1.609736148E+001,3.907738506E+002,2.318306123E-002
+,2240,1.023782405E+001,2.555108243E-002,-5.311027030E-003,8.180923219E-003,2.474019935E-002,1.400054752E+001,1.861443646E+001,3.937298347E+002,2.685509884E-002
+,2280,1.021491008E+001,2.868528726E-002,-5.943963915E-003,1.095102245E-002,2.825863727E-002,1.360973534E+001,2.156198266E+001,3.978525835E+002,3.118123329E-002
+,2320,1.017982052E+001,3.187641370E-002,-6.558663625E-003,1.471687121E-002,3.217948818E-002,1.306004602E+001,2.503781342E+001,4.037247048E+002,3.632351077E-002
+,2360,1.012303651E+001,3.485588616E-002,-7.060798455E-003,1.988081281E-002,3.646658604E-002,1.226831829E+001,2.917200344E+001,4.123419285E+002,4.250235980E-002
+,2400,1.002472230E+001,3.708690970E-002,-7.254008762E-003,2.701339849E-002,4.096750717E-002,1.109457014E+001,3.412941697E+001,4.255146204E+002,5.000251999E-002
+,2440,9.846934114E+000,3.759286456E-002,-6.789256176E-003,3.681108173E-002,4.522976181E-002,9.329751619E+000,4.005155392E+001,4.465560886E+002,5.909057444E-002
+,2480,9.561528110E+000,3.534552361E-002,-5.465585627E-003,4.953027479E-002,4.820048570E-002,6.920317006E+000,4.670551402E+001,4.797287071E+002,6.961059070E-002
+,2520,9.258676027E+000,3.131560372E-002,-4.045782811E-003,6.326617630E-002,4.892907440E-002,4.590322847E+000,5.289528109E+001,5.224488551E+002,8.023191583E-002
+,2560,9.056083900E+000,2.789167934E-002,-3.231206261E-003,7.440512637E-002,4.826383152E-002,3.059794733E+000,5.734673215E+001,5.614177003E+002,8.881302785E-002
+,2600,8.948955710E+000,2.577797798E-002,-2.859040955E-003,8.158354902E-002,4.743054586E-002,2.241837701E+000,5.997937326E+001,5.884102461E+002,9.444107855E-002
+,2640,8.896079829E+000,2.463217164E-002,-2.691301160E-003,8.563467931E-002,4.685534359E-002,1.833771547E+000,6.138615814E+001,6.042767600E+002,9.766511133E-002
+,2680,8.870264073E+000,2.404360741E-002,-2.613176046E-003,8.776926517E-002,4.652743329E-002,1.632578348E+000,6.210527828E+001,6.128162564E+002,9.937936853E-002
+,2720,8.857635732E+000,2.374853861E-002,-2.575935886E-003,8.885564029E-002,4.635512074E-002,1.533952547E+000,6.246620306E+001,6.172072731E+002,1.002562911E-001
+,2760,8.851445644E+000,2.360205780E-002,-2.558013684E-003,8.939923610E-002,4.626751362E-002,1.486238589E+000,6.264546993E+001,6.194162290E+002,1.006962124E-001
+,2800,8.848408568E+000,2.352936216E-002,-2.549272762E-003,8.966928373E-002,4.622331136E-002,1.462964731E+000,6.273365237E+001,6.205181160E+002,1.009148796E-001
+,2840,8.846914262E+000,2.349332449E-002,-2.544906707E-003,8.980295994E-002,4.620124420E-002,1.451052513E+000,6.277699018E+001,6.210647191E+002,1.010231210E-001
+,2880,8.846175941E+000,2.347570794E-002,-2.542734050E-003,8.986878221E-002,4.619058118E-002,1.444946397E+000,6.279862637E+001,6.213329855E+002,1.010765260E-001
+,2920,8.845812282E+000,2.346719005E-002,-2.541717959E-003,8.990104693E-002,4.618548301E-002,1.442223061E+000,6.280947302E+001,6.214639426E+002,1.011027808E-001
+,2960,8.845635567E+000,2.346292944E-002,-2.541251868E-003,8.991698371E-002,4.618283208E-002,1.441134164E+000,6.281465489E+001,6.215292772E+002,1.011157012E-001
+,3000,8.845549299E+000,2.346069655E-002,-2.540991673E-003,8.992497255E-002,4.618137167E-002,1.440452256E+000,6.281702550E+001,6.215626143E+002,1.011221122E-001
+,3040,8.845505192E+000,2.345961341E-002,-2.540831316E-003,8.992890365E-002,4.618071623E-002,1.439892835E+000,6.281826521E+001,6.215787140E+002,1.011252859E-001
+,3080,8.845482952E+000,2.345918156E-002,-2.540765736E-003,8.993074564E-002,4.618052450E-002,1.439669374E+000,6.281902811E+001,6.215856987E+002,1.011268275E-001
+,3120,8.845472765E+000,2.345898232E-002,-2.540762344E-003,8.993161683E-002,4.618041527E-002,1.439737554E+000,6.281938714E+001,6.215891373E+002,1.011275558E-001
+,3160,8.845468495E+000,2.345881623E-002,-2.540756224E-003,8.993212084E-002,4.618026315E-002,1.439776838E+000,6.281944979E+001,6.215915107E+002,1.011279365E-001
+,3200,8.845465931E+000,2.345870266E-002,-2.540732538E-003,8.993239955E-002,4.618017247E-002,1.439668947E+000,6.281946121E+001,6.215928616E+002,1.011281383E-001
+,3240,8.845463587E+000,2.345869303E-002,-2.540717295E-003,8.993250039E-002,4.618019622E-002,1.439576897E+000,6.281954688E+001,6.215930749E+002,1.011282348E-001
+,3280,8.845463368E+000,2.345872139E-002,-2.540725610E-003,8.993250821E-002,4.618023807E-002,1.439615935E+000,6.281962417E+001,6.215929220E+002,1.011282626E-001
+,3320,8.845463376E+000,2.345871154E-002,-2.540735096E-003,8.993253485E-002,4.618021476E-002,1.439687347E+000,6.281961220E+001,6.215931231E+002,1.011282788E-001
+,3360,8.845463374E+000,2.345867494E-002,-2.540729893E-003,8.993258137E-002,4.618016963E-002,1.439671906E+000,6.281956693E+001,6.215934852E+002,1.011282989E-001
+,3400,8.845463006E+000,2.345866344E-002,-2.540721121E-003,8.993260217E-002,4.618017136E-002,1.439613599E+000,6.281957202E+001,6.215935288E+002,1.011283157E-001
+,3440,8.845462536E+000,2.345868661E-002,-2.540722386E-003,8.993258058E-002,4.618020307E-002,1.439608553E+000,6.281961025E+001,6.215933194E+002,1.011283107E-001
+,3480,8.845462533E+000,2.345869788E-002,-2.540728747E-003,8.993256883E-002,4.618020921E-002,1.439648774E+000,6.281961844E+001,6.215932571E+002,1.011283048E-001
+,3520,8.845463373E+000,2.345868564E-002,-2.540730498E-003,8.993258257E-002,4.618018784E-002,1.439663422E+000,6.281959424E+001,6.215934012E+002,1.011283080E-001
+,3560,8.845462889E+000,2.345867249E-002,-2.540725489E-003,8.993259743E-002,4.618017683E-002,1.439638113E+000,6.281958200E+001,6.215934959E+002,1.011283150E-001
+,3600,8.845462539E+000,2.345868048E-002,-2.540723050E-003,8.993259000E-002,4.618018914E-002,1.439620541E+000,6.281959621E+001,6.215934194E+002,1.011283133E-001
+,3640,8.845462528E+000,2.345868924E-002,-2.540725831E-003,8.993258006E-002,4.618020042E-002,1.439633195E+000,6.281960953E+001,6.215933345E+002,1.011283101E-001
+,3680,8.845462531E+000,2.345868810E-002,-2.540728233E-003,8.993258075E-002,4.618019475E-002,1.439650494E+000,6.281960366E+001,6.215933684E+002,1.011283089E-001
+,3720,8.845462532E+000,2.345867928E-002,-2.540727249E-003,8.993259036E-002,4.618018417E-002,1.439645447E+000,6.281959168E+001,6.215934472E+002,1.011283124E-001
+,3760,8.845462530E+000,2.345867665E-002,-2.540725056E-003,8.993259144E-002,4.618018606E-002,1.439631031E+000,6.281959380E+001,6.215934438E+002,1.011283136E-001
+,3800,8.845462532E+000,2.345868348E-002,-2.540725501E-003,8.993258719E-002,4.618019408E-002,1.439631650E+000,6.281960341E+001,6.215933879E+002,1.011283135E-001
+,3840,8.845462533E+000,2.345868493E-002,-2.540726845E-003,8.993258487E-002,4.618019428E-002,1.439642335E+000,6.281960393E+001,6.215933811E+002,1.011283120E-001
+,3880,8.845462533E+000,2.345868189E-002,-2.540726902E-003,8.993258789E-002,4.618018840E-002,1.439643939E+000,6.281959705E+001,6.215934214E+002,1.011283121E-001
+,3920,8.845462529E+000,2.345867911E-002,-2.540725489E-003,8.993259004E-002,4.618018704E-002,1.439636495E+000,6.281959543E+001,6.215934344E+002,1.011283130E-001
+,3960,8.845462536E+000,2.345868244E-002,-2.540725489E-003,8.993258884E-002,4.618019107E-002,1.439633988E+000,6.281960009E+001,6.215934080E+002,1.011283137E-001
+,4000,8.845462529E+000,2.345868434E-002,-2.540726339E-003,8.993258639E-002,4.618019270E-002,1.439638842E+000,6.281960212E+001,6.215933941E+002,1.011283125E-001
+,4040,8.845462533E+000,2.345868101E-002,-2.540726414E-003,8.993258741E-002,4.618019015E-002,1.439641523E+000,6.281959915E+001,6.215934104E+002,1.011283123E-001
+,4080,8.845462529E+000,2.345868072E-002,-2.540725830E-003,8.993258880E-002,4.618018848E-002,1.439638533E+000,6.281959717E+001,6.215934234E+002,1.011283127E-001
+,4120,8.845462537E+000,2.345868084E-002,-2.540725530E-003,8.993258905E-002,4.618019003E-002,1.439636067E+000,6.281959893E+001,6.215934140E+002,1.011283135E-001
+,4160,8.845462529E+000,2.345868247E-002,-2.540726100E-003,8.993258726E-002,4.618019150E-002,1.439637785E+000,6.281960067E+001,6.215934030E+002,1.011283127E-001
+,4200,8.845462530E+000,2.345868263E-002,-2.540726170E-003,8.993258736E-002,4.618019061E-002,1.439639832E+000,6.281959971E+001,6.215934079E+002,1.011283124E-001
+,4240,8.845462527E+000,2.345868088E-002,-2.540726019E-003,8.993258811E-002,4.618018948E-002,1.439638951E+000,6.281959833E+001,6.215934164E+002,1.011283126E-001
+,4280,8.845462536E+000,2.345868082E-002,-2.540725825E-003,8.993258880E-002,4.618018990E-002,1.439637399E+000,6.281959878E+001,6.215934144E+002,1.011283133E-001
+,4320,8.845462538E+000,2.345868252E-002,-2.540726114E-003,8.993258846E-002,4.618019077E-002,1.439637768E+000,6.281959977E+001,6.215934083E+002,1.011283134E-001
+,4360,8.845462538E+000,2.345868237E-002,-2.540726063E-003,8.993258818E-002,4.618019058E-002,1.439638831E+000,6.281959964E+001,6.215934089E+002,1.011283131E-001
+,4400,8.845462535E+000,2.345868092E-002,-2.540726009E-003,8.993258842E-002,4.618019004E-002,1.439638746E+000,6.281959898E+001,6.215934129E+002,1.011283131E-001
+,4440,8.845462537E+000,2.345868079E-002,-2.540725764E-003,8.993258865E-002,4.618019002E-002,1.439638066E+000,6.281959899E+001,6.215934131E+002,1.011283132E-001
+,4480,8.845462530E+000,2.345868081E-002,-2.540725947E-003,8.993258797E-002,4.618019038E-002,1.439638024E+000,6.281959937E+001,6.215934109E+002,1.011283128E-001
+,4520,8.845462538E+000,2.345868074E-002,-2.540725961E-003,8.993258862E-002,4.618019044E-002,1.439638395E+000,6.281959947E+001,6.215934105E+002,1.011283134E-001
+,4560,8.845462529E+000,2.345868086E-002,-2.540725713E-003,8.993258799E-002,4.618019014E-002,1.439638517E+000,6.281959923E+001,6.215934120E+002,1.011283127E-001
+,4600,8.845462538E+000,2.345868102E-002,-2.540725949E-003,8.993258868E-002,4.618019014E-002,1.439638246E+000,6.281959914E+001,6.215934127E+002,1.011283133E-001
+,4640,8.845462529E+000,2.345868084E-002,-2.540725963E-003,8.993258804E-002,4.618019028E-002,1.439638113E+000,6.281959931E+001,6.215934118E+002,1.011283128E-001
+,4680,8.845462534E+000,2.345868078E-002,-2.540725857E-003,8.993258824E-002,4.618019034E-002,1.439638289E+000,6.281959941E+001,6.215934111E+002,1.011283130E-001
+,4720,8.845462530E+000,2.345868078E-002,-2.540725922E-003,8.993258803E-002,4.618019025E-002,1.439638425E+000,6.281959930E+001,6.215934117E+002,1.011283128E-001
+,4760,8.845462527E+000,2.345868079E-002,-2.540726077E-003,8.993258784E-002,4.618019020E-002,1.439638310E+000,6.281959921E+001,6.215934123E+002,1.011283126E-001
+,4800,8.845462530E+000,2.345868098E-002,-2.540725991E-003,8.993258807E-002,4.618019025E-002,1.439638197E+000,6.281959928E+001,6.215934120E+002,1.011283128E-001
+,4840,8.845462527E+000,2.345868076E-002,-2.540725844E-003,8.993258785E-002,4.618019029E-002,1.439638253E+000,6.281959936E+001,6.215934115E+002,1.011283127E-001
+,4880,8.845462531E+000,2.345868069E-002,-2.540725837E-003,8.993258807E-002,4.618019025E-002,1.439638353E+000,6.281959932E+001,6.215934116E+002,1.011283128E-001
+,4920,8.845462534E+000,2.345868078E-002,-2.540725794E-003,8.993258829E-002,4.618019019E-002,1.439638328E+000,6.281959926E+001,6.215934120E+002,1.011283130E-001
+,4960,8.845462530E+000,2.345868084E-002,-2.540726111E-003,8.993258809E-002,4.618019027E-002,1.439638251E+000,6.281959927E+001,6.215934120E+002,1.011283129E-001
+,5000,8.845462538E+000,2.345868070E-002,-2.540725914E-003,8.993258874E-002,4.618019029E-002,1.439638252E+000,6.281959932E+001,6.215934117E+002,1.011283134E-001
+,5040,8.845462531E+000,2.345868100E-002,-2.540725923E-003,8.993258809E-002,4.618019027E-002,1.439638317E+000,6.281959932E+001,6.215934117E+002,1.011283129E-001
+,5080,8.845462538E+000,2.345868085E-002,-2.540725948E-003,8.993258875E-002,4.618019026E-002,1.439638322E+000,6.281959928E+001,6.215934119E+002,1.011283134E-001
+,5120,8.845462531E+000,2.345868077E-002,-2.540725799E-003,8.993258812E-002,4.618019020E-002,1.439638275E+000,6.281959927E+001,6.215934120E+002,1.011283129E-001
+,5160,8.845462539E+000,2.345868083E-002,-2.540725952E-003,8.993258877E-002,4.618019028E-002,1.439638261E+000,6.281959930E+001,6.215934118E+002,1.011283135E-001
+,5200,8.845462532E+000,2.345868063E-002,-2.540725883E-003,8.993258813E-002,4.618019025E-002,1.439638295E+000,6.281959931E+001,6.215934117E+002,1.011283129E-001
+,5240,8.845462538E+000,2.345868068E-002,-2.540725949E-003,8.993258878E-002,4.618019027E-002,1.439638306E+000,6.281959929E+001,6.215934119E+002,1.011283135E-001
+,5280,8.845462525E+000,2.345868074E-002,-2.540725964E-003,8.993258771E-002,4.618019024E-002,1.439638290E+000,6.281959928E+001,6.215934119E+002,1.011283125E-001
+,5320,8.845462534E+000,2.345868106E-002,-2.540726031E-003,8.993258837E-002,4.618019027E-002,1.439638273E+000,6.281959930E+001,6.215934119E+002,1.011283131E-001
+,5360,8.845462537E+000,2.345868081E-002,-2.540725938E-003,8.993258858E-002,4.618019028E-002,1.439638285E+000,6.281959930E+001,6.215934118E+002,1.011283133E-001
+,5400,8.845462527E+000,2.345868114E-002,-2.540725914E-003,8.993258795E-002,4.618019024E-002,1.439638299E+000,6.281959930E+001,6.215934118E+002,1.011283127E-001
+,5440,8.845462537E+000,2.345868086E-002,-2.540725918E-003,8.993258860E-002,4.618019025E-002,1.439638296E+000,6.281959929E+001,6.215934119E+002,1.011283133E-001
+,5480,8.845462540E+000,2.345868090E-002,-2.540726063E-003,8.993258882E-002,4.618019030E-002,1.439638282E+000,6.281959929E+001,6.215934119E+002,1.011283135E-001
+,5520,8.845462525E+000,2.345868071E-002,-2.540725724E-003,8.993258775E-002,4.618019020E-002,1.439638286E+000,6.281959930E+001,6.215934118E+002,1.011283125E-001
+,5560,8.845462527E+000,2.345868083E-002,-2.540726067E-003,8.993258798E-002,4.618019028E-002,1.439638299E+000,6.281959930E+001,6.215934118E+002,1.011283128E-001
+,5600,8.845462532E+000,2.345868061E-002,-2.540725887E-003,8.993258820E-002,4.618019024E-002,1.439638293E+000,6.281959929E+001,6.215934119E+002,1.011283129E-001
+,5640,8.845462528E+000,2.345868146E-002,-2.540725956E-003,8.993258799E-002,4.618019024E-002,1.439638280E+000,6.281959929E+001,6.215934118E+002,1.011283128E-001
