case,group,equilibrium,mode,amplitude,dt_s,duration_s,window_end_s,window_samples,predicted_re_per_s,predicted_im_rad_s,measured_sigma_modal,measured_omega_modal,measured_sigma_state,measured_omega_state,dominant_state,zero_crossings,extrema,wp3d_uncertainty,rate_error,rate_band,rate_agrees,frequency_error,frequency_band,frequency_agrees,reference_amplitude
B8-A,B,table_vii_8,A+,0.0001,0.01,60,29.5,1476,0.11540565619461118,1.3566137066171975,0.11541235871410456,1.3562036744349952,0.11553061727288018,1.3558420721683007,q,13,13,2.754E-006,6.7025194933761911E-06,1.362E-002,true,0.0004100321822022579,6.791E-003,true,true
B8-A,B,table_vii_8,A+,0.001,0.01,60,9.48,475,0.11540565619461118,1.3566137066171975,0.11547054377668851,1.3550032199007038,0.11639222439197561,1.3557597489998692,q,4,4,2.754E-006,6.4887582077330364E-05,1.362E-002,,0.0016104867164936643,6.791E-003,,false
B9-A,B,table_vii_9,A+,1E-06,0.01,60,60,3001,-0.031235863737071885,1.3994086723769914,-0.030928997850778097,1.3990340369712075,-0.030987035551189614,1.398901130112459,q,27,27,4.108E-006,0.00030686588629378828,1.401E-002,,0.000374635405783863,7.009E-003,,false
B9-A,B,table_vii_9,A+,1E-05,0.01,60,60,3001,-0.031235863737071885,1.3994086723769914,-0.031232708169826852,1.3994100998279189,-0.031232500907882932,1.3994136467275742,q,27,27,4.108E-006,3.1555672450334082E-06,1.401E-002,,1.4274509274603275E-06,7.009E-003,,false
B9-A,B,table_vii_9,A+,0.0001,0.01,60,60,3001,-0.031235863737071885,1.3994086723769914,-0.031233109532987018,1.3994123812766486,-0.031233183555974375,1.3994126289910314,q,27,27,4.108E-006,2.7542040848677063E-06,1.401E-002,true,3.708899657173248E-06,7.009E-003,true,true
B9-A,B,table_vii_9,A+,0.001,0.01,60,60,3001,-0.031235863737071885,1.3994086723769914,-0.031253814656054951,1.3993585950339715,-0.031263978147488526,1.3993984770754861,q,27,27,4.108E-006,1.7950918983065944E-05,1.401E-002,,5.0077343019871989E-05,7.009E-003,,false
C150-A,C,table_vii_150,A+,1E-06,0.01,12,9.92,497,-0.23304976709451292,1.3565984769197534,-0.23274938584917124,1.3546412768131115,-0.23201498485478755,1.354094190986624,q,4,4,6.140E-006,0.00030038124534167987,1.378E-002,,0.00195720010664191,6.801E-003,,false
C150-A,C,table_vii_150,A+,1E-05,0.01,12,12,601,-0.23304976709451292,1.3565984769197534,-0.2330388149585032,1.3566057839873586,-0.23298870659082793,1.3565866057259242,q,5,5,6.140E-006,1.095213600971201E-05,1.378E-002,,7.3070676052111594E-06,6.801E-003,,false
C150-A,C,table_vii_150,A+,0.0001,0.01,12,12,601,-0.23304976709451292,1.3565984769197534,-0.23305306541164514,1.3565899390987666,-0.23305723678736182,1.356592317802253,q,5,5,6.140E-006,3.2983171322220617E-06,1.378E-002,true,8.53782098686473E-06,6.801E-003,true,true
C150-A,C,table_vii_150,A+,0.001,0.01,12,12,601,-0.23304976709451292,1.3565984769197534,-0.2330361799952326,1.356591327872823,-0.23303928460593562,1.3566189241107411,q,5,5,6.140E-006,1.358709928031554E-05,1.378E-002,,7.1490469304436033E-06,6.801E-003,,false
C150-B,C,table_vii_150,B+,1E-06,0.05,400,283,2831,-0.0083333362552611666,0.11552491507065854,-0.00813282456398655,0.11536456698788243,-0.0081424227343548112,0.11538842317434289,V,10,10,1.026E-007,0.00020051169127461611,1.159E-003,,0.00016034808277611,5.779E-004,,false
C150-B,C,table_vii_150,B+,1E-05,0.05,400,400,4001,-0.0083333362552611666,0.11552491507065854,-0.0083061926250948964,0.1155187063359976,-0.00830485707687649,0.11552150200969376,V,15,14,1.026E-007,2.7143630166270166E-05,1.159E-003,,6.2087346609368543E-06,5.779E-004,,false
C150-B,C,table_vii_150,B+,0.0001,0.05,400,400,4001,-0.0083333362552611666,0.11552491507065854,-0.00834974675213132,0.11551747014306331,-0.008348888419044442,0.11550659891245008,V,15,14,1.026E-007,1.6410496870154084E-05,1.159E-003,true,7.4449275952320759E-06,5.779E-004,true,true
